country_ISO3,technology_field,success_within_3_years_proba,success_within_5_years_proba,success_within_10_years_proba,success_within_20_years_proba,number_of_companies
ECU,Hybrid and Electric mobility,0.0,0.0,0.0,0.0,1.0
ECU,Other Energy,0.0,0.0,0.0,0.0,1.0
EGY,Energy Efficiency,0.0,0.0,0.0,0.0,9.0
EGY,Fossil Fuels,0.0,0.0,8.333333333333332,8.333333333333332,6.0
EGY,Grid,0.0,0.0,0.0,0.0,1.0
EGY,Hybrid and Electric mobility,0.0,0.0,0.0,0.0,5.0
EGY,Other Energy,0.0,0.0,3.4682080924855496,6.936416184971099,14.416666666666666
EGY,Other Renewables,0.0,0.0,0.0,0.0,7.25
EGY,Solar,0.0,0.0,0.0,11.538461538461538,4.333333333333333
ESP,Bioenergy,0.0,0.0,0.0,0.0,3.5833333333333335
ESP,Energy Efficiency,0.0,0.208286840734955,0.208286840734955,2.0828684073495496,160.03571428571428
ESP,Fossil Fuels,0.0,0.6884681583476765,0.6884681583476765,5.507745266781412,48.416666666666664
ESP,Grid,0.0,1.1837655016910935,1.1837655016910935,1.1837655016910935,84.47619047619048
ESP,Hybrid and Electric mobility,0.0,0.0,0.0,0.0,29.0
ESP,Nuclear,0.0,0.0,0.0,0.0,0.8333333333333333
ESP,Other Energy,0.525744805140616,0.817825252440958,2.2198113994826003,4.030710172744722,285.3095238095238
ESP,Other Renewables,0.31890660592255127,0.6378132118451025,0.6378132118451025,2.55125284738041,156.78571428571428
ESP,Solar,0.0,0.0,1.0480349344978166,1.572052401746725,95.41666666666667
ESP,Storage (not electromobility),0.0,6.069364161849712,6.069364161849712,6.069364161849712,16.476190476190474
ESP,Wind,0.0,0.0,0.0,9.375,10.666666666666666
EST,Energy Efficiency,0.0,0.0,0.0,0.0,12.833333333333334
EST,Fossil Fuels,17.647058823529413,17.647058823529413,17.647058823529413,17.647058823529413,2.833333333333333
EST,Grid,0.0,0.0,0.0,0.0,1.0
EST,Hybrid and Electric mobility,0.0,0.0,0.0,0.0,5.0
EST,Hydrogen and Fuel Cells,0.0,0.0,0.0,0.0,0.5
EST,Nuclear,0.0,0.0,0.0,0.0,1.0
EST,Other Energy,3.6585365853658542,3.6585365853658542,3.6585365853658542,7.3170731707317085,13.666666666666666
EST,Other Renewables,0.0,0.0,0.0,0.0,7.25
EST,Solar,0.0,0.0,0.0,23.076923076923077,2.1666666666666665
EST,Storage (not electromobility),0.0,0.0,0.0,0.0,3.75
EST,Wind,0.0,0.0,0.0,0.0,2.0
ETH,Energy Efficiency,0.0,0.0,0.0,0.0,1.8333333333333333
ETH,Other Energy,0.0,0.0,0.0,0.0,2.333333333333333
ETH,Other Renewables,0.0,0.0,0.0,0.0,0.8333333333333333
FIN,Bioenergy,0.0,0.0,0.0,0.0,0.25
FIN,Energy Efficiency,0.0,2.830188679245283,2.830188679245283,9.433962264150942,35.333333333333336
FIN,Fossil Fuels,16.901408450704228,33.802816901408455,39.436619718309856,39.436619718309856,5.916666666666666
FIN,Grid,20.408163265306122,20.408163265306122,28.57142857142857,44.89795918367347,12.25
FIN,Hybrid and Electric mobility,0.0,0.0,7.6923076923076925,7.6923076923076925,13.0
FIN,Nuclear,0.0,0.0,0.0,0.0,0.3333333333333333
FIN,Other Energy,4.712041884816754,5.7591623036649215,8.551483420593367,13.438045375218149,47.75
FIN,Other Renewables,1.1627906976744187,3.488372093023256,9.689922480620154,15.891472868217054,21.5
FIN,Solar,0.0,0.0,0.0,0.0,12.25
FIN,Storage (not electromobility),0.0,0.0,0.0,0.0,5.333333333333333
FIN,Wind,32.43243243243243,32.43243243243243,32.43243243243243,32.43243243243243,3.0833333333333335
FLK,Fossil Fuels,0.0,0.0,0.0,100.0,1.0
FRA,Bioenergy,0.0,0.0,0.0,0.0,2.5
FRA,Energy Efficiency,0.0,1.4765232798503791,4.577222167536175,5.167831479476327,169.31666666666666
FRA,Fossil Fuels,2.0710059171597632,2.0710059171597632,8.579881656804734,23.668639053254438,56.333333333333336
FRA,Grid,0.6420545746388443,3.5313001605136436,5.457463884430176,9.951845906902086,51.916666666666664
FRA,Hybrid and Electric mobility,0.0,4.651162790697675,4.651162790697675,6.976744186046512,43.0
FRA,Hydrogen and Fuel Cells,0.0,0.0,0.0,0.0,0.3333333333333333
