country_ISO3,sector,number_of_companies,success_within_3_years_proba,success_within_5_years_proba,success_within_10_years_proba,success_within_20_years_proba,time_to_expansion_stage,time_to_bridge_stage,time_to_ipo,time_to_acquired,time_to_success,time_to_early_stage
KOR,energy_and_non_digital,202,0.9900990099009901,0.9900990099009901,1.4851485148514851,3.9603960396039604,6.912328767123288,16.48904109589041,13.993346379647749,24.94931506849315,16.42800608828006,8.256164383561643
KOR,energy_and_digital,66,0.0,0.0,0.0,1.5151515151515151,,1.3397260273972602,11.032876712328767,38.084931506849315,24.55890410958904,1.4892367906066537
KWT,energy_and_non_digital,12,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,,,1.8876712328767122,,1.8876712328767122,
KWT,energy_and_digital,1,0.0,0.0,0.0,0.0,,,,,,
LAO,energy_and_digital,1,0.0,0.0,0.0,0.0,14.238356164383562,,,,,
LBN,energy_and_non_digital,5,0.0,0.0,0.0,0.0,,,,,,
LBN,energy_and_digital,3,0.0,0.0,0.0,0.0,,,,,,
LCA,energy_and_non_digital,1,0.0,0.0,0.0,0.0,,1.3205479452054794,,,,5.306849315068493
LKA,energy_and_non_digital,10,0.0,0.0,0.0,0.0,,17.454794520547946,,,,
LKA,energy_and_digital,4,0.0,0.0,0.0,0.0,,,,,,
LSO,energy_and_non_digital,1,0.0,0.0,0.0,0.0,,,,,,
LTU,energy_and_non_digital,23,0.0,0.0,4.3478260869565215,13.043478260869565,22.345205479452055,14.07945205479452,14.663013698630136,9.572602739726028,12.9662100456621,1.2894977168949773
LTU,energy_and_digital,13,0.0,0.0,0.0,0.0,,2.7260273972602738,,,,1.413013698630137
LUX,energy_and_non_digital,14,7.142857142857142,14.285714285714285,14.285714285714285,14.285714285714285,,1.5041095890410958,0.821917808219178,4.841095890410959,2.8315068493150686,3.9575342465753423
LUX,energy_and_digital,6,0.0,0.0,0.0,0.0,1.726027397260274,,,,,0.9342465753424657
LVA,energy_and_non_digital,10,0.0,0.0,0.0,10.0,,2.5520547945205476,19.167123287671235,,19.167123287671235,3.346118721461187
LVA,energy_and_digital,15,0.0,0.0,0.0,0.0,,10.73972602739726,,,,0.723972602739726
MAR,energy_and_non_digital,14,0.0,0.0,0.0,0.0,,2.0027397260273974,,,,2.8328767123287673
MAR,energy_and_digital,4,0.0,0.0,0.0,0.0,,,,,,
MDA,energy_and_non_digital,1,0.0,0.0,0.0,0.0,,,,,,0.5863013698630137
MDA,energy_and_digital,2,0.0,0.0,0.0,0.0,,,,,,1.0986301369863014
MDG,energy_and_non_digital,4,0.0,0.0,0.0,0.0,,,,,,
